hhh_id	hhh_name	hhh_price	mes_sku	mes_name	mes_section	mes_sheet	mes_price	fixture	form	hhh_watts	mes_watts	score
1957	LEDONE 180W/200W/220W Highbay	219.91	5118	09242 03 - LED 2FT Linear High Bay (Pine SSR+) 150W-165W-180W-200W-220W 5000K Frosted White ZSR Rotatable 100-277V 6KV IP20 DLC Prem (MES)	Linear High Bay	MES Interior	81.5	highbay		180/200/220	150/165/180/200/220	38
2049	ML 220W/280W/320W/360W/400W Highbay	350	6785	09248 - LED 4FT Linear High Bay (Pine SSR) 220W-280W-320W-360W-400W 5000K Frosted White ZSR 120-277V 10KV DLC Prem (MES)	Linear High Bay	MES Interior	175	highbay		220/280/320/360/400	220/280/320/360/400	58
1958	LEDONE 290W/320W/350W Highbay	319.04	6785	09248 - LED 4FT Linear High Bay (Pine SSR) 220W-280W-320W-360W-400W 5000K Frosted White ZSR 120-277V 10KV DLC Prem (MES)	Linear High Bay	MES Interior	175	highbay		290/320/350	220/280/320/360/400	10
2050	ML 105W/135W/155W/180W Highbay	390	5118	09242 03 - LED 2FT Linear High Bay (Pine SSR+) 150W-165W-180W-200W-220W 5000K Frosted White ZSR Rotatable 100-277V 6KV IP20 DLC Prem (MES)	Linear High Bay	MES Interior	81.5	highbay		105/135/155/180	150/165/180/200/220	10
1959	LEDONE 360W/400W/440W Highbay	348.78	6785	09248 - LED 4FT Linear High Bay (Pine SSR) 220W-280W-320W-360W-400W 5000K Frosted White ZSR 120-277V 10KV DLC Prem (MES)	Linear High Bay	MES Interior	175	highbay		360/400/440	220/280/320/360/400	20
2051	ML 2x2 Backlit Panel Retrofit Kit 20W/25W/30W	70.2	5138	02843 - LED 2x2 Back-Lit Panel Retrofit (Lotus GSR) 20W-25W-30W CCT Tunable (3500K-4000K-5000K) Frosted White QSR 120V-277V (MES)	Snap Fit Fixtures	MES Interior	35.1	panel	2x2	20/25/30	20/25/30	43
1436	SMBE Strip Light 48W/68W/90W w/ Controls	364.24	6132	04010 02 - LED 8ft (4ftx2) Strip Fixture Retrofit (Lily GSR) 65W-75W-90W CCT Tunable (3500K-4000K-5000K) Frosted White QSR 120V-277V DLC Prem (MES)	Snap Fit Fixtures	MES Interior	69.75	strip		48/68/90	65/75/90	10
2052	ML 2x4 Backlit Panel Retrofit Kit 23W/30W/36W	102.99	5139	02845 - LED 2x4 Back-Lit Panel Retrofit (Lotus GSR) 23W-30W-36W CCT Tunable (3500K-4000K-5000K) Frosted White QSR 120V-277V (MES)	Snap Fit Fixtures	MES Interior	51.5	panel	2x4	23/30/36	23/30/36	43
1433	SMBE Strip Light 48W/68W/90W w/ Lift	463.02	6132	04010 02 - LED 8ft (4ftx2) Strip Fixture Retrofit (Lily GSR) 65W-75W-90W CCT Tunable (3500K-4000K-5000K) Frosted White QSR 120V-277V DLC Prem (MES)	Snap Fit Fixtures	MES Interior	69.75	strip		48/68/90	65/75/90	10
2005	LEDONE Canopy 25W/50W/75W/100W	155.52	4990	05822 - LED Canopy Fixture (Hercules GSR) 100W-120W-150W CCT Tunable (3000K-4000K-5000K) White 120V-277V UL & DLC Prem (MES)	Food Grade Canopy	MES Interior	185	canopy		25/50/75/100	100/120/150	10
2053	ML 2x4 Backlit Panel Retrofit Kit 35W/40W/46W	107	5140	02846 - LED 2x4 Back-Lit Panel Retrofit (Lotus GSR) 35W-40W-46W CCT Tunable (3500K-4000K-5000K) Frosted White QSR 120V-277V (MES)	Snap Fit Fixtures	MES Interior	53.5	panel	2x4	35/40/46	35/40/46	43
2006	LEDONE Canopy 40W/50W/60W/75W	135.96	5968	05823 02 - LED Canopy / Garage Fixture (Leo GSR) 20W-40W-60W-80W CCT Tunable (3500K-4000K-5000K) Bronze ZSR 120-277V DLC Prem (MES)	Canopy	MES Exterior	65.5	canopy		40/50/60/75	20/40/60/80	20
1439	SMBE Strip Light 48W/68W/90W Relocate/Lift/Controls	741.72	6132	04010 02 - LED 8ft (4ftx2) Strip Fixture Retrofit (Lily GSR) 65W-75W-90W CCT Tunable (3500K-4000K-5000K) Frosted White QSR 120V-277V DLC Prem (MES)	Snap Fit Fixtures	MES Interior	69.75	strip		48/68/90	65/75/90	10
1494	SMBE Strip Light 60W/70W/80W Relocate	467.5	6686	02382 05 - LED 8FT Covered Strip Fixture (Juniper GSR+) 40W-53W-68W-80W CCT Tunable (3000K-3500K-4000K-5000K-6500K) Frosted White 150 LM/W QSR & PQSR 120V-277V DLC Prem (MES) DLC ID#	Linear Strip Fixtures	MES Interior	68	strip		60/70/80	40/53/68/80	10
1437	SMBE Strip Light 48W/68W/90W w/ Lift w/ Controls	534.22	6132	04010 02 - LED 8ft (4ftx2) Strip Fixture Retrofit (Lily GSR) 65W-75W-90W CCT Tunable (3500K-4000K-5000K) Frosted White QSR 120V-277V DLC Prem (MES)	Snap Fit Fixtures	MES Interior	69.75	strip		48/68/90	65/75/90	10
1492	SMBE Strip Light 60W/70W/80W	260	6686	02382 05 - LED 8FT Covered Strip Fixture (Juniper GSR+) 40W-53W-68W-80W CCT Tunable (3000K-3500K-4000K-5000K-6500K) Frosted White 150 LM/W QSR & PQSR 120V-277V DLC Prem (MES) DLC ID#	Linear Strip Fixtures	MES Interior	68	strip		60/70/80	40/53/68/80	10
